500 4990 
1 69 1
1 212 1
1 457 1
1 493 1
1 304 1
1 388 1
1 462 1
1 410 1
1 344 1
1 348 1
1 298 1
2 365 1
2 428 1
2 356 1
2 263 1
2 83 1
2 475 1
2 412 1
2 250 1
2 444 1
2 452 1
2 323 1
2 92 1
2 489 1
2 88 1
2 344 1
2 316 1
2 373 1
2 97 1
2 108 1
2 211 1
2 36 1
2 369 1
2 235 1
2 214 1
2 204 1
3 137 1
3 401 1
3 381 1
3 408 1
3 144 1
3 354 1
3 314 1
3 77 1
3 89 1
3 18 1
3 37 1
3 83 1
3 362 1
3 425 1
3 441 1
4 180 1
4 143 1
4 92 1
4 104 1
4 68 1
4 84 1
4 9 1
4 308 1
4 39 1
4 350 1
4 473 1
4 236 1
4 65 1
5 332 1
5 76 1
5 112 1
5 286 1
5 15 1
5 122 1
5 360 1
5 353 1
5 448 1
5 424 1
5 90 1
5 495 1
5 212 1
5 414 1
5 445 1
5 21 1
5 218 1
5 319 1
6 341 1
6 334 1
6 127 1
6 326 1
6 262 1
6 332 1
6 260 1
6 303 1
6 487 1
6 65 1
6 293 1
6 413 1
6 73 1
6 126 1
6 163 1
6 66 1
6 222 1
6 36 1
6 419 1
7 212 1
7 214 1
7 116 1
7 386 1
7 486 1
7 410 1
7 275 1
7 376 1
7 128 1
7 489 1
7 326 1
7 34 1
7 26 1
7 211 1
7 30 1
7 44 1
7 86 1
7 268 1
7 155 1
7 154 1
8 182 1
8 283 1
8 189 1
8 413 1
8 316 1
8 267 1
8 478 1
8 171 1
8 297 1
8 227 1
8 454 1
9 230 1
9 475 1
9 375 1
9 378 1
9 256 1
9 282 1
9 488 1
9 364 1
9 444 1
9 339 1
9 19 1
9 489 1
9 233 1
9 417 1
9 305 1
9 373 1
9 145 1
9 198 1
10 489 1
10 440 1
10 265 1
10 65 1
10 136 1
10 209 1
10 399 1
10 32 1
10 436 1
10 486 1
10 337 1
10 308 1
10 375 1
10 246 1
10 200 1
11 255 1
11 112 1
11 140 1
11 433 1
11 70 1
11 290 1
11 495 1
11 303 1
11 74 1
11 435 1
11 442 1
11 450 1
11 390 1
11 381 1
11 252 1
11 316 1
12 194 1
12 155 1
12 167 1
12 459 1
12 159 1
12 262 1
12 453 1
12 68 1
12 30 1
12 455 1
12 316 1
12 233 1
12 340 1
12 367 1
12 97 1
12 62 1
12 61 1
12 99 1
12 168 1
12 286 1
12 136 1
12 288 1
12 145 1
12 46 1
12 274 1
12 362 1
12 379 1
12 304 1
13 428 1
13 482 1
13 434 1
13 312 1
13 104 1
13 469 1
13 245 1
13 477 1
13 280 1
13 29 1
13 366 1
13 60 1
13 26 1
